ID,Title,Author,Year,Format,File
1,7d. Crossing The Barriers of Library Anxiety id,Anis dkk,2024,PDF,ebook/7d. crossing the barriers of library anxiety id.pdf
2,BMC Medical Research (4),Shinchen dkk,2025,PDF,ebook/BMC Medical Research (4).pdf
3,Digital Mirror (6),Yuxin,2025,PDF,ebook/Digital Mirror (6).pdf
4,IJIM Digital Libraries (3),Jia dkk,2025,PDF,ebook/IJIM Digital Librares (3).pdf
5,MDPI FOMO (5),Weimiao dkk,2025,PDF,ebook/MDPI FOMO (5).pdf
6,Materi VR (2),Dr. Tengku,2025,PDF,ebook/Materi VR (2).pdf
7,Public Libraries (8),Johanna dkk,2023,PDF,ebook/Public Libraries (8).pdf
8,Public Sphere (9),Septevan,2020,PDF,ebook/Public Sphere (9).pdf
9,Technological Innovation (7),Peichun,2020,PDF,ebook/Technological Innovation (7).pdf
10,UU Perpustakaan (10),Sulistyo Basuki,2009,PDF,ebook/UU Perpustakaan (10).pdf
